Date and Time,City,Weather,Temperature (F),Wind (mph),Car Accidents,,,,,
4/05/2025 4:15pm,Tallahassee,Cloudy,83.07,14.97,3,,,,,
4/05/2025 4:15pm,Jacksonville,Cloudy,87.46,14.97,4,,,,,
4/05/2025 4:15pm,Gainesville,Cloudy,89.64,10.36,2,,,,,
4/05/2025 4:15pm,Orlando,Cloudy,88.21,14.97,10,,,,,
4/05/2025 4:15pm,Tampa,Cloudy,89.37,9.22,17,,,,,
4/05/2025 4:15pm,Fort Myers,Cloudy,89.8,9.22,1,,,,,
4/05/2025 4:15pm,Miami,Cloudy,83.97,20.71,14,,,,,
4/06/2025 6:30pm,Tallahassee,Cloudy,79.38,19.57,2,,,,,
4/06/2025 6:30pm,Jacksonville,Cloudy,87.04,13.8,2,,,,,
4/06/2025 6:30pm,Gainesville,Clear,85.66,3,1,,,,,
4/06/2025 6:30pm,Orlando,Clear,88.75,8.05,13,,,,,
4/06/2025 6:30pm,Tampa,Cloudy,83.16,14.97,11,,,,,
4/06/2025 6:30pm,Fort Myers,Clear,83.01,14.97,2,,,,,
4/06/2025 6:30pm,Miami,Cloudy,80.33,12.66,9,,,,,
